Terrain,Scanner,segment_id,GT_ID,GT_TH,before_TH,after_TH,before_TH_error,after_TH_error,before_TH_abs_error,after_TH_abs_error,TH_delta_abs_error,GT_DBH,before_DBH,after_DBH,before_DBH_error,after_DBH_error,before_DBH_abs_error,after_DBH_abs_error,DBH_delta_abs_error,attribute_value_source,source_clean_file
Intermediate,Hovermap,4,23,19.7,21.5488,21.5488,1.8488000000000007,1.8488000000000007,1.8488000000000007,1.8488000000000007,0.0,0.278,0.258,0.258,-0.020000000000000018,-0.020000000000000018,0.020000000000000018,0.020000000000000018,0.0,original,
Intermediate,Hovermap,0,25,18.3,20.7787,20.7787,2.4787,2.4787,2.4787,2.4787,0.0,0.258,0.2338,0.2338,-0.0242,-0.0242,0.0242,0.0242,0.0,original,
Intermediate,Hovermap,2,26,17.3,19.0759,19.0759,1.7759,1.7759,1.7759,1.7759,0.0,0.267,0.2382,0.2382,-0.02880000000000002,-0.02880000000000002,0.02880000000000002,0.02880000000000002,0.0,original,
Intermediate,Hovermap,14,27,21.2,21.4771,21.4771,0.2771000000000008,0.2771000000000008,0.2771000000000008,0.2771000000000008,0.0,0.325,0.2822,0.2822,-0.042800000000000005,-0.042800000000000005,0.042800000000000005,0.042800000000000005,0.0,original,
Intermediate,Hovermap,9,28,19.8,20.7566,20.7566,0.9565999999999981,0.9565999999999981,0.9565999999999981,0.9565999999999981,0.0,0.263,0.2168,0.2168,-0.04620000000000002,-0.04620000000000002,0.04620000000000002,0.04620000000000002,0.0,original,
Intermediate,Hovermap,7,29,17.2,19.8236,19.8236,2.6235999999999997,2.6235999999999997,2.6235999999999997,2.6235999999999997,0.0,0.212,0.174,0.174,-0.038000000000000006,-0.038000000000000006,0.038000000000000006,0.038000000000000006,0.0,original,
Intermediate,Hovermap,23,30,19.4,20.561,20.561,1.1610000000000014,1.1610000000000014,1.1610000000000014,1.1610000000000014,0.0,0.191,0.1512,0.1512,-0.0398,-0.0398,0.0398,0.0398,0.0,original,
Intermediate,Hovermap,12,34,22.8,23.2274,23.2274,0.42739999999999867,0.42739999999999867,0.42739999999999867,0.42739999999999867,0.0,0.365,0.3076,0.3076,-0.05740000000000001,-0.05740000000000001,0.05740000000000001,0.05740000000000001,0.0,original,
Challenging,Single sensor,0,8,28.4,25.9518,23.8554,-2.4482,-4.544599999999999,2.4482,4.544599999999999,2.096399999999999,0.392,0.3363,0.4592,-0.05570000000000003,0.06719999999999998,0.05570000000000003,0.06719999999999998,0.011499999999999955,cleaned,
Challenging,Single sensor,1,9,25.1,25.5944,25.5944,0.49439999999999884,0.49439999999999884,0.49439999999999884,0.49439999999999884,0.0,0.355,0.2046,0.2046,-0.15039999999999998,-0.15039999999999998,0.15039999999999998,0.15039999999999998,0.0,original,
Challenging,Single sensor,6,13,21.3,19.7602,19.7602,-1.5397999999999996,-1.5397999999999996,1.5397999999999996,1.5397999999999996,0.0,0.159,0.1652,0.1652,0.006200000000000011,0.006200000000000011,0.006200000000000011,0.006200000000000011,0.0,original,
Challenging,Single sensor,10,14,24.7,24.6232,24.6232,-0.07679999999999865,-0.07679999999999865,0.07679999999999865,0.07679999999999865,0.0,0.41,0.319,0.319,-0.09099999999999997,-0.09099999999999997,0.09099999999999997,0.09099999999999997,0.0,original_reprocessing_exception,
Challenging,Single sensor,11,6,26.1,26.524,26.524,0.4239999999999995,0.4239999999999995,0.4239999999999995,0.4239999999999995,0.0,0.425,0.4682,0.4642,0.043200000000000016,0.03920000000000001,0.043200000000000016,0.03920000000000001,-0.0040000000000000036,cleaned,
